label,seq_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops
[experiment] llama3_8b_num_mma_kv_1,4864,8,32,8,128,16,128,16,2,1,4,1,24.9744,62.083
[experiment] llama3_8b_num_mma_kv_1,4992,8,32,8,128,16,128,16,2,1,4,1,26.3227,62.044
[experiment] llama3_8b_num_mma_kv_1,5120,8,32,8,128,16,128,16,2,1,4,1,27.6751,62.077
[experiment] llama3_8b_num_mma_kv_1,5248,8,32,8,128,16,128,16,2,1,4,1,29.0299,62.176
[experiment] llama3_8b_num_mma_kv_1,5376,8,32,8,128,16,128,16,2,1,4,1,30.4121,62.28
[experiment] llama3_8b_num_mma_kv_1,5504,8,32,8,128,16,128,16,2,1,4,1,31.8445,62.345
[experiment] llama3_8b_num_mma_kv_1,5632,8,32,8,128,16,128,16,2,1,4,1,33.3233,62.382
[experiment] llama3_8b_num_mma_kv_1,5760,8,32,8,128,16,128,16,2,1,4,1,34.8403,62.408
[experiment] llama3_8b_num_mma_kv_1,5888,8,32,8,128,16,128,16,2,1,4,1,36.3798,62.453
[experiment] llama3_8b_num_mma_kv_1,6016,8,32,8,128,16,128,16,2,1,4,1,37.9455,62.508
[experiment] llama3_8b_num_mma_kv_1,6144,8,32,8,128,16,128,16,2,1,4,1,39.5335,62.577
[experiment] llama3_8b_num_mma_kv_1,6272,8,32,8,128,16,128,16,2,1,4,1,41.163,62.63
[experiment] llama3_8b_num_mma_kv_1,6400,8,32,8,128,16,128,16,2,1,4,1,42.8307,62.674
[experiment] llama3_8b_num_mma_kv_1,6528,8,32,8,128,16,128,16,2,1,4,1,44.5586,62.677
[experiment] llama3_8b_num_mma_kv_1,6656,8,32,8,128,16,128,16,2,1,4,1,46.2691,62.75
[experiment] llama3_8b_num_mma_kv_1,6784,8,32,8,128,16,128,16,2,1,4,1,48.0359,62.789
[experiment] llama3_8b_num_mma_kv_1,6912,8,32,8,128,16,128,16,2,1,4,1,49.8227,62.844
[experiment] llama3_8b_num_mma_kv_1,7040,8,32,8,128,16,128,16,2,1,4,1,51.6785,62.851
[experiment] llama3_8b_num_mma_kv_1,7168,8,32,8,128,16,128,16,2,1,4,1,53.5321,62.902
[experiment] llama3_8b_num_mma_kv_1,7296,8,32,8,128,16,128,16,2,1,4,1,55.3964,62.975
[experiment] llama3_8b_num_mma_kv_1,7424,8,32,8,128,16,128,16,2,1,4,1,57.3413,62.992
[experiment] llama3_8b_num_mma_kv_1,7552,8,32,8,128,16,128,16,2,1,4,1,59.3331,62.995
[experiment] llama3_8b_num_mma_kv_1,7680,8,32,8,128,16,128,16,2,1,4,1,61.2937,63.065
[experiment] llama3_8b_num_mma_kv_1,7808,8,32,8,128,16,128,16,2,1,4,1,63.3678,63.051
[experiment] llama3_8b_num_mma_kv_1,7936,8,32,8,128,16,128,16,2,1,4,1,65.4273,63.085
[experiment] llama3_8b_num_mma_kv_1,8064,8,32,8,128,16,128,16,2,1,4,1,67.5108,63.126
[experiment] llama3_8b_num_mma_kv_1,8192,8,32,8,128,16,128,16,2,1,4,1,69.61,63.181
[experiment] llama3_70b_num_mma_kv_1,128,8,64,8,128,16,128,16,2,1,4,1,0.0914,23.5
[experiment] llama3_70b_num_mma_kv_1,256,8,64,8,128,16,128,16,2,1,4,1,0.2321,37.011
[experiment] llama3_70b_num_mma_kv_1,384,8,64,8,128,16,128,16,2,1,4,1,0.4416,43.765
[experiment] llama3_70b_num_mma_kv_1,512,8,64,8,128,16,128,16,2,1,4,1,0.7031,48.871
[experiment] llama3_70b_num_mma_kv_1,640,8,64,8,128,16,128,16,2,1,4,1,1.0444,51.405
[experiment] llama3_70b_num_mma_kv_1,768,8,64,8,128,16,128,16,2,1,4,1,1.4552,53.126
[experiment] llama3_70b_num_mma_kv_1,896,8,64,8,128,16,128,16,2,1,4,1,1.9553,53.817
[experiment] llama3_70b_num_mma_kv_1,1024,8,64,8,128,16,128,16,2,1,4,1,2.4691,55.664
[experiment] llama3_70b_num_mma_kv_1,1152,8,64,8,128,16,128,16,2,1,4,1,3.1133,55.873
[experiment] llama3_70b_num_mma_kv_1,1280,8,64,8,128,16,128,16,2,1,4,1,3.7423,57.384
[experiment] llama3_70b_num_mma_kv_1,1408,8,64,8,128,16,128,16,2,1,4,1,4.4772,58.037
[experiment] llama3_70b_num_mma_kv_1,1536,8,64,8,128,16,128,16,2,1,4,1,5.319,58.139
[experiment] llama3_70b_num_mma_kv_1,1664,8,64,8,128,16,128,16,2,1,4,1,6.2238,58.312
[experiment] llama3_70b_num_mma_kv_1,1792,8,64,8,128,16,128,16,2,1,4,1,7.159,58.794
[experiment] llama3_70b_num_mma_kv_1,1920,8,64,8,128,16,128,16,2,1,4,1,8.1256,59.464
[experiment] llama3_70b_num_mma_kv_1,2048,8,64,8,128,16,128,16,2,1,4,1,9.193,59.802
[experiment] llama3_70b_num_mma_kv_1,2176,8,64,8,128,16,128,16,2,1,4,1,10.326,60.103
[experiment] llama3_70b_num_mma_kv_1,2304,8,64,8,128,16,128,16,2,1,4,1,11.5294,60.349
[experiment] llama3_70b_num_mma_kv_1,2432,8,64,8,128,16,128,16,2,1,4,1,12.7829,60.647
[experiment] llama3_70b_num_mma_kv_1,2560,8,64,8,128,16,128,16,2,1,4,1,14.1286,60.798
[experiment] llama3_70b_num_mma_kv_1,2688,8,64,8,128,16,128,16,2,1,4,1,15.5422,60.933
[experiment] llama3_70b_num_mma_kv_1,2816,8,64,8,128,16,128,16,2,1,4,1,17.0329,61.022
[experiment] llama3_70b_num_mma_kv_1,2944,8,64,8,128,16,128,16,2,1,4,1,18.5574,61.217
[experiment] llama3_70b_num_mma_kv_1,3072,8,64,8,128,16,128,16,2,1,4,1,20.1304,61.447
[experiment] llama3_70b_num_mma_kv_1,3200,8,64,8,128,16,128,16,2,1,4,1,21.8083,61.544
[experiment] llama3_70b_num_mma_kv_1,3328,8,64,8,128,16,128,16,2,1,4,1,23.5401,61.669
[experiment] llama3_70b_num_mma_kv_1,3456,8,64,8,128,16,128,16,2,1,4,1,25.3696,61.708
[experiment] llama3_70b_num_mma_kv_1,3584,8,64,8,128,16,128,16,2,1,4,1,27.2332,61.823
[experiment] llama3_70b_num_mma_kv_1,3712,8,64,8,128,16,128,16,2,1,4,1,29.1568,61.942
[experiment] llama3_70b_num_mma_kv_1,3840,8,64,8,128,16,128,16,2,1,4,1,31.1558,62.034
[experiment] llama3_70b_num_mma_kv_1,3968,8,64,8,128,16,128,16,2,1,4,1,33.1787,62.201
[experiment] llama3_70b_num_mma_kv_1,4096,8,64,8,128,16,128,16,2,1,4,1,35.3349,62.234
[experiment] llama3_70b_num_mma_kv_1,4224,8,64,8,128,16,128,16,2,1,4,1,37.5203,62.329
[experiment] llama3_70b_num_mma_kv_1,4352,8,64,8,128,16,128,16,2,1,4,1,39.7859,62.396
[experiment] llama3_70b_num_mma_kv_1,4480,8,64,8,128,16,128,16,2,1,4,1,42.0842,62.51
[experiment] llama3_70b_num_mma_kv_1,4608,8,64,8,128,16,128,16,2,1,4,1,44.4734,62.58
[experiment] llama3_70b_num_mma_kv_1,4736,8,64,8,128,16,128,16,2,1,4,1,46.923,62.654
[experiment] llama3_70b_num_mma_kv_1,4864,8,64,8,128,16,128,16,2,1,4,1,49.4653,62.69
[experiment] llama3_70b_num_mma_kv_1,4992,8,64,8,128,16,128,16,2,1,4,1,52.0234,62.786
[experiment] llama3_70b_num_mma_kv_1,5120,8,64,8,128,16,128,16,2,1,4,1,54.688,62.829
[experiment] llama3_70b_num_mma_kv_1,5248,8,64,8,128,16,128,16,2,1,4,1,57.4388,62.848
[experiment] llama3_70b_num_mma_kv_1,5376,8,64,8,128,16,128,16,2,1,4,1,60.1914,62.935
[experiment] llama3_70b_num_mma_kv_1,5504,8,64,8,128,16,128,16,2,1,4,1,63.03,62.997
[experiment] llama3_70b_num_mma_kv_1,5632,8,64,8,128,16,128,16,2,1,4,1,65.98,63.012
[experiment] llama3_70b_num_mma_kv_1,5760,8,64,8,128,16,128,16,2,1,4,1,68.9431,63.076
[experiment] llama3_70b_num_mma_kv_1,5888,8,64,8,128,16,128,16,2,1,4,1,72.0033,63.109
[experiment] llama3_70b_num_mma_kv_1,6016,8,64,8,128,16,128,16,2,1,4,1,75.1436,63.13
[experiment] llama3_70b_num_mma_kv_1,6144,8,64,8,128,16,128,16,2,1,4,1,78.3117,63.181
[experiment] llama3_70b_num_mma_kv_1,6272,8,64,8,128,16,128,16,2,1,4,1,81.5218,63.248
[experiment] llama3_70b_num_mma_kv_1,6400,8,64,8,128,16,128,16,2,1,4,1,84.8629,63.263
[experiment] llama3_70b_num_mma_kv_1,6528,8,64,8,128,16,128,16,2,1,4,1,88.2573,63.288
[experiment] llama3_70b_num_mma_kv_1,6656,8,64,8,128,16,128,16,2,1,4,1,91.7357,63.299
[experiment] llama3_70b_num_mma_kv_1,6784,8,64,8,128,16,128,16,2,1,4,1,95.2813,63.31
[experiment] llama3_70b_num_mma_kv_1,6912,8,64,8,128,16,128,16,2,1,4,1,98.882,63.329
[experiment] llama3_70b_num_mma_kv_1,7040,8,64,8,128,16,128,16,2,1,4,1,102.5415,63.351
[experiment] llama3_70b_num_mma_kv_1,7168,8,64,8,128,16,128,16,2,1,4,1,106.3357,63.333
[experiment] llama3_70b_num_mma_kv_1,7296,8,64,8,128,16,128,16,2,1,4,1,110.1226,63.358
[experiment] llama3_70b_num_mma_kv_1,7424,8,64,8,128,16,128,16,2,1,4,1,114.0004,63.369
[experiment] llama3_70b_num_mma_kv_1,7552,8,64,8,128,16,128,16,2,1,4,1,117.911,63.399
[experiment] llama3_70b_num_mma_kv_1,7680,8,64,8,128,16,128,16,2,1,4,1,121.8748,63.433
[experiment] llama3_70b_num_mma_kv_1,7808,8,64,8,128,16,128,16,2,1,4,1,125.9479,63.445
[experiment] llama3_70b_num_mma_kv_1,7936,8,64,8,128,16,128,16,2,1,4,1,130.0917,63.455
[experiment] llama3_70b_num_mma_kv_1,8064,8,64,8,128,16,128,16,2,1,4,1,134.3149,63.458
[experiment] llama3_70b_num_mma_kv_1,8192,8,64,8,128,16,128,16,2,1,4,1,138.8913,63.331
[experiment] llama3_8b_num_mma_kv_2,128,8,32,8,128,16,128,32,2,2,4,1,0.0575,18.67
[experiment] llama3_8b_num_mma_kv_2,256,8,32,8,128,16,128,32,2,2,4,1,0.1337,32.12
[experiment] llama3_8b_num_mma_kv_2,384,8,32,8,128,16,128,32,2,2,4,1,0.2404,40.198
