label,kv_len,batch_size,num_qo_heads,num_kv_heads,head_dim,page_size,dtype,use_tensor_cores,backend,fixed_split_size,requested_fixed_split_size,target_split_k,split_k_count,disable_split_kv,split_kv,kv_chunk_size_tokens,kv_chunk_size_pages,num_chunks_kv,CTA_TILE_Q,CTA_TILE_KV,NUM_MMA_Q,NUM_MMA_KV,NUM_WARPS_Q,NUM_WARPS_KV,ms,tflops,gb_per_s_est
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4480,16,32,8,128,16,fp16,1,fa2,280,,1,1,0,0,4480,280,1,16,64,1,1,1,4,0.33744,3.48,870.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4608,16,32,8,128,16,fp16,1,fa2,288,,1,1,0,0,4608,288,1,16,64,1,1,1,4,0.34737,3.477,869.4
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4736,16,32,8,128,16,fp16,1,fa2,296,,1,1,0,0,4736,296,1,16,64,1,1,1,4,0.35683,3.479,869.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4864,16,32,8,128,16,fp16,1,fa2,304,,1,1,0,0,4864,304,1,16,64,1,1,1,4,0.36633,3.481,870.2
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,4992,16,32,8,128,16,fp16,1,fa2,312,,1,1,0,0,4992,312,1,16,64,1,1,1,4,0.3754,3.486,871.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5120,16,32,8,128,16,fp16,1,fa2,320,,1,1,0,0,5120,320,1,16,64,1,1,1,4,0.38516,3.485,871.2
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5248,16,32,8,128,16,fp16,1,fa2,328,,1,1,0,0,5248,328,1,16,64,1,1,1,4,0.39409,3.491,872.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5376,16,32,8,128,16,fp16,1,fa2,336,,1,1,0,0,5376,336,1,16,64,1,1,1,4,0.40413,3.487,871.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5504,16,32,8,128,16,fp16,1,fa2,344,,1,1,0,0,5504,344,1,16,64,1,1,1,4,0.41348,3.489,872.4
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5632,16,32,8,128,16,fp16,1,fa2,352,,1,1,0,0,5632,352,1,16,64,1,1,1,4,0.42248,3.495,873.6
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5760,16,32,8,128,16,fp16,1,fa2,360,,1,1,0,0,5760,360,1,16,64,1,1,1,4,0.43195,3.496,873.9
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,5888,16,32,8,128,16,fp16,1,fa2,368,,1,1,0,0,5888,368,1,16,64,1,1,1,4,0.44166,3.495,873.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6016,16,32,8,128,16,fp16,1,fa2,376,,1,1,0,0,6016,376,1,16,64,1,1,1,4,0.4504,3.501,875.4
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6144,16,32,8,128,16,fp16,1,fa2,384,,1,1,0,0,6144,384,1,16,64,1,1,1,4,0.45993,3.502,875.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6272,16,32,8,128,16,fp16,1,fa2,392,,1,1,0,0,6272,392,1,16,64,1,1,1,4,0.46932,3.503,875.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6400,16,32,8,128,16,fp16,1,fa2,400,,1,1,0,0,6400,400,1,16,64,1,1,1,4,0.47916,3.501,875.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6528,16,32,8,128,16,fp16,1,fa2,408,,1,1,0,0,6528,408,1,16,64,1,1,1,4,0.4895,3.496,874.0
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6656,16,32,8,128,16,fp16,1,fa2,416,,1,1,0,0,6656,416,1,16,64,1,1,1,4,0.49824,3.502,875.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6784,16,32,8,128,16,fp16,1,fa2,424,,1,1,0,0,6784,424,1,16,64,1,1,1,4,0.50794,3.501,875.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,6912,16,32,8,128,16,fp16,1,fa2,432,,1,1,0,0,6912,432,1,16,64,1,1,1,4,0.51868,3.493,873.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7040,16,32,8,128,16,fp16,1,fa2,440,,1,1,0,0,7040,440,1,16,64,1,1,1,4,0.52548,3.512,878.0
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7168,16,32,8,128,16,fp16,1,fa2,448,,1,1,0,0,7168,448,1,16,64,1,1,1,4,0.53523,3.511,877.7
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7296,16,32,8,128,16,fp16,1,fa2,456,,1,1,0,0,7296,456,1,16,64,1,1,1,4,0.54454,3.512,878.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7424,16,32,8,128,16,fp16,1,fa2,464,,1,1,0,0,7424,464,1,16,64,1,1,1,4,0.55489,3.507,876.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7552,16,32,8,128,16,fp16,1,fa2,472,,1,1,0,0,7552,472,1,16,64,1,1,1,4,0.56338,3.514,878.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7680,16,32,8,128,16,fp16,1,fa2,480,,1,1,0,0,7680,480,1,16,64,1,1,1,4,0.57255,3.516,879.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7808,16,32,8,128,16,fp16,1,fa2,488,,1,1,0,0,7808,488,1,16,64,1,1,1,4,0.58228,3.515,878.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,7936,16,32,8,128,16,fp16,1,fa2,496,,1,1,0,0,7936,496,1,16,64,1,1,1,4,0.59163,3.516,879.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,8064,16,32,8,128,16,fp16,1,fa2,504,,1,1,0,0,8064,504,1,16,64,1,1,1,4,0.60089,3.518,879.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_1,8192,16,32,8,128,16,fp16,1,fa2,512,,1,1,0,0,8192,512,1,16,64,1,1,1,4,0.61043,3.518,879.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_2,128,16,32,8,128,16,fp16,1,fa2,8,,1,1,0,0,128,8,1,16,128,1,2,1,4,0.04069,0.825,206.1
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_2,256,16,32,8,128,16,fp16,1,fa2,16,,1,1,0,0,256,16,1,16,128,1,2,1,4,0.04028,1.666,416.5
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_2,384,16,32,8,128,16,fp16,1,fa2,24,,1,1,0,0,384,24,1,16,128,1,2,1,4,0.04041,2.491,622.8
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_2,512,16,32,8,128,16,fp16,1,fa2,32,,1,1,0,0,512,32,1,16,128,1,2,1,4,0.05044,2.661,665.3
[experiment] llama3_8b_float16_split_k_1_num_mma_kv_2,640,16,32,8,128,16,fp16,1,fa2,40,,1,1,0,0,640,40,1,16,128,1,2,1,4,0.06069,2.764,691.1
