batch_size,kv_len,default_ms,patched_ms,oracle_ms,default_chunks,patched_chunks,oracle_chunks,oracle_k,oracle_source,patched_speedup,oracle_speedup
4,1664,0.04938,0.04186,0.0432,5.0,1.0,1.0,1,k_1,1.1796464405160056,1.1430555555555555
4,1792,0.04958,0.04182,0.0434,5.0,1.0,1.0,1,k_1,1.185557149689144,1.1423963133640553
4,1920,0.05326,0.04359,0.0447,5.0,1.0,1.0,1,k_1,1.2218398715301677,1.1914988814317675
4,2048,0.04984,0.05028,0.0458,5.0,2.0,1.0,1,k_1,0.9912490055688147,1.0882096069868996
4,2176,0.05121,0.05008,0.0483,5.0,2.0,1.0,1,k_1,1.0225638977635783,1.060248447204969
4,2304,0.0553,0.05273,0.0508,5.0,2.0,1.0,1,k_1,1.0487388583349138,1.0885826771653544
4,2432,0.05649,0.05444,0.053,5.0,2.0,1.0,1,k_1,1.0376561351947098,1.0658490566037735
4,2560,0.05942,0.05762,0.0553,5.0,2.0,1.0,1,k_1,1.03123915307185,1.074502712477396
4,2688,0.06127,0.05923,0.0582,5.0,2.0,1.0,1,k_1,1.0344420057403343,1.0527491408934708
4,2816,0.06416,0.06251,0.0605,5.0,2.0,1.0,1,k_1,1.026395776675732,1.060495867768595
4,2944,0.06623,0.06399,0.0628,5.0,2.0,1.0,1,k_1,1.0350054696046256,1.0546178343949044
4,3072,0.06886,0.06901,0.0649,5.0,3.0,1.0,1,k_1,0.9978264019707289,1.0610169491525425
4,3200,0.07061,0.07031,0.0673,5.0,3.0,1.0,1,k_1,1.0042668183757646,1.049182763744428
4,3328,0.07349,0.07349,0.0698,5.0,3.0,1.0,1,k_1,1.0,1.052865329512894
4,3456,0.07522,0.07556,0.0726,5.0,3.0,1.0,1,k_1,0.9955002646903123,1.0360881542699725
4,3584,0.07901,0.07827,0.0749,5.0,3.0,1.0,1,k_1,1.009454452536093,1.0548731642189586
4,3712,0.07996,0.08012,0.0773,5.0,3.0,1.0,1,k_1,0.99800299550674,1.0344113842173353
4,3840,0.08335,0.08302,0.0797,5.0,3.0,1.0,1,k_1,1.0039749457961937,1.0457967377666249
4,3968,0.08534,0.08463,0.0821,5.0,3.0,1.0,1,k_1,1.0083894600023633,1.0394640682095004
4,4096,0.08791,0.08754,0.0846,5.0,4.0,1.0,1,k_1,1.0042266392506283,1.0391252955082744
4,4224,0.09062,0.08949,0.0871,5.0,4.0,1.0,1,k_1,1.0126271091742094,1.0404133180252584
4,4352,0.09311,0.09217,0.0894,5.0,4.0,1.0,1,k_1,1.0101985461646956,1.0414988814317674
4,4480,0.09461,0.0942,0.092,5.0,4.0,1.0,1,k_1,1.004352441613588,1.0283695652173914
4,4608,0.09872,0.09696,0.0949,5.0,4.0,1.0,1,k_1,1.018151815181518,1.0402528977871444
4,4736,0.09961,0.09914,0.0969,5.0,4.0,1.0,1,k_1,1.0047407706273956,1.0279669762641899
4,4864,0.10301,0.10177,0.099,5.0,4.0,1.0,1,k_1,1.012184337231011,1.0405050505050506
4,4992,0.10389,0.1044,0.1016,5.0,4.0,1.0,1,k_1,0.9951149425287356,1.0225393700787402
4,5120,0.10709,0.1066,0.1041,5.0,4.0,1.0,1,k_1,1.004596622889306,1.0287223823246878
4,5248,0.10911,0.10893,0.1059,5.0,4.0,1.0,1,k_1,1.001652437345084,1.0303116147308782
4,5376,0.1115,0.11127,0.1089,5.0,4.0,1.0,1,k_1,1.0020670441268986,1.0238751147842058
4,5504,0.1136,0.11333,0.1105,5.0,4.0,1.0,1,k_1,1.0023824230124416,1.028054298642534
4,5632,0.11632,0.11585,0.1138,5.0,4.0,1.0,1,k_1,1.0040569702201123,1.0221441124780317
4,5760,0.11814,0.11847,0.1156,5.0,4.0,1.0,1,k_1,0.9972144846796657,1.0219723183391003
